Sentença;Entidade 1;Tipo Entidade 1;Relacao;Entidade 2;Tipo Entidade 2
World Alliance of Reformed Churches condena a guerra no Iraque.;Iraque;LOC;condena a guerra no;World Alliance of;ORG
Em 19 de Dezembro de 1974 foi assinado um acordo entre o PAIGC e Portugal, instaurando-se um governo de transição em Cabo Verde .;PAIGC;ORG;acordo entre;Portugal;LOC
Em 19 de Dezembro de 1974 foi assinado um acordo entre o PAIGC e Portugal, instaurando-se um governo de transição em Cabo Verde .;PAIGC;ORG;;Cabo Verde;LOC
Em 19 de Dezembro de 1974 foi assinado um acordo entre o PAIGC e Portugal, instaurando-se um governo de transição em Cabo Verde .;Portugal;LOC;;Cabo Verde;LOC
A 88i , plataforma de serviços digitais para seguros e blockchain , foi aprovada no Global Startup Program da Singularity University , corporação do Vale do Silício que oferece programas educacionais e uma incubadora de empresas .;88i;ORG;foi aprovada no;Global Startup Program;ORG
A 88i , plataforma de serviços digitais para seguros e blockchain , foi aprovada no Global Startup Program da Singularity University , corporação do Vale do Silício que oferece programas educacionais e uma incubadora de empresas .;Vale do Silício;LOC;;Global Startup Program;LOC
A 88i , plataforma de serviços digitais para seguros e blockchain , foi aprovada no Global Startup Program da Singularity University , corporação do Vale do Silício que oferece programas educacionais e uma incubadora de empresas .;Vale do Silício;LOC;corporação do;Singularity University;ORG
A 88i , plataforma de serviços digitais para seguros e blockchain , foi aprovada no Global Startup Program da Singularity University , corporação do Vale do Silício que oferece programas educacionais e uma incubadora de empresas .;Global Startup Program;LOC;da;Singularity University;ORG
À Escola Prática de Cavalaria coube o papel mais importante, a ocupação do Terreiro do Paço.;Escola Prática de Cavalaria;ORG;a ocupação do;Terreiro do Paço;LOC
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Leal Senado;MISC;;Wan Chun;PER
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Leal Senado;MISC;presidente do;Sales Marques;LOC
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Leal Senado;MISC;;Câmara Municipal do Porto;LOC
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Leal Senado;MISC;;Fernando Gomes;PER
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Wan Chun;PER;em representação de;Sales Marques;LOC
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Wan Chun;PER;;Câmara Municipal do Porto;LOC
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Wan Chun;PER;;Fernando Gomes;PER
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Sales Marques;LOC;;Câmara Municipal do Porto;LOC
A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado.;Sales Marques;LOC;;Fernando Gomes;PER
